player,oreb,dreb,ast,blk,stl,foul,treb,pts,FG,FGA,3FG,3FGA,FT,FTA,TO,+/-,Minutes
2,0,0,4,0,0,2,0,0,0,4,0,2,0,0,2,5.0,11.850000000000001
3,0,0,1,0,1,2,0,5,1,3,0,2,3,3,0,9.0,12.416666666666668
4,1,0,1,0,0,0,1,0,0,1,0,1,0,2,0,7.0,10.783333333333335
9,0,7,1,0,2,1,7,7,3,5,1,2,0,0,2,13.0,16.583333333333332
13,8,6,3,0,2,2,14,8,3,9,0,0,2,5,2,12.0,17.816666666666663
1,0,1,3,0,2,1,1,8,2,4,1,3,3,4,1,12.0,22.85
8,0,0,2,0,1,0,0,6,2,4,1,2,1,2,1,5.0,11.899999999999999
10,0,3,1,0,1,1,3,3,1,8,1,4,0,0,2,10.0,16.500000000000004
5,1,0,3,0,4,1,1,15,5,10,5,9,0,0,0,14.0,20.68333333333333
11,2,2,3,1,1,3,4,6,3,4,0,1,0,0,0,11.0,15.516666666666667
7,2,3,3,0,2,2,5,8,4,8,0,2,0,0,5,24.0,19.616666666666667
12,1,3,0,3,3,0,4,9,4,8,0,0,1,3,1,10.0,13.583333333333332
6,3,3,1,0,3,0,6,0,0,4,0,1,0,2,1,8.0,9.899999999999999
