lineup|quarter|Q_points|Opp_points|Score_margin|Time_in|Time_in_elapsed|Time_out|Time_out_elapsed|+/-|Shift_length
['2', '3', '4', '9', '13']|q1|2.0|2.0|0.0|10:00|0.0|06:40|3.3333333333333335|0|3.3333333333333335
['1', '2', '8', '10', '13']|q1|5.0|7.0|-2.0|06:40|3.3333333333333335|05:36|4.4|-2|1.0666666666666669
['1', '5', '8', '10', '13']|q1|6.0|7.0|-1.0|05:36|4.4|05:26|4.566666666666666|1|0.16666666666666607
['1', '5', '8', '10', '11']|q1|8.0|9.0|-1.0|05:26|4.566666666666666|04:07|5.883333333333334|0|1.3166666666666673
['5', '7', '8', '10', '11']|q1|14.0|9.0|5.0|04:07|5.883333333333334|03:01|6.983333333333333|6|1.0999999999999996
['5', '7', '8', '11', '12']|q1|19.0|12.0|7.0|03:01|6.983333333333333|01:49|8.183333333333334|2|1.2000000000000002
['5', '6', '7', '11', '12']|q1|20.0|12.0|8.0|01:49|8.183333333333334|00:00|10.0|1|1.8166666666666664
['2', '3', '4', '9', '13']|q2|27.0|14.0|13.0|10:00|10.0|06:43|13.283333333333333|5|3.283333333333333
['1', '3', '8', '10', '11']|q2|31.0|16.0|15.0|06:43|13.283333333333333|05:05|14.916666666666666|2|1.6333333333333329
['1', '5', '8', '10', '11']|q2|31.0|20.0|11.0|05:05|14.916666666666666|03:54|16.1|-4|1.1833333333333353
['1', '5', '8', '11', '12']|q2|33.0|24.0|9.0|03:54|16.1|03:02|16.966666666666665|-2|0.8666666666666636
['1', '5', '7', '11', '12']|q2|38.0|25.0|13.0|03:02|16.966666666666665|00:00|20.0|4|3.033333333333335
['2', '3', '4', '9', '13']|q3|46.0|31.0|15.0|10:00|20.0|05:50|24.166666666666668|2|4.166666666666668
['1', '5', '8', '10', '11']|q3|54.0|37.0|17.0|05:50|24.166666666666668|02:28|27.533333333333335|2|3.366666666666667
['1', '5', '7', '10', '12']|q3|57.0|39.0|18.0|02:28|27.533333333333335|00:00|30.0|1|2.466666666666665
['1', '5', '7', '9', '13']|q4|60.0|39.0|21.0|10:00|30.0|08:05|31.916666666666668|3|1.9166666666666679
['5', '6', '7', '9', '13']|q4|60.0|41.0|19.0|08:05|31.916666666666668|07:27|32.55|-2|0.6333333333333293
['5', '6', '7', '10', '12']|q4|62.0|41.0|21.0|07:27|32.55|05:50|34.166666666666664|2|1.6166666666666671
['1', '6', '7', '10', '12']|q4|66.0|43.0|23.0|05:50|34.166666666666664|03:15|36.75|2|2.5833333333333357
['1', '6', '7', '9', '13']|q4|75.0|47.0|28.0|03:15|36.75|00:00|40.0|5|3.25
